experiment_id,executed_at_utc,model,target_transform,parameters_json,sample_policy,random_state,evaluation_split,evaluation_rows,train_rows,validation_rows,feature_set_version,gold_logical_hash,fit_seconds,predict_seconds,peak_rss_bytes,model_size_estimate_bytes,wape,mae,rmsse,negative_predictions_before_clip,status,notes
r4b1_baseline_zero,2026-09-22T20:39:58.894371+00:00,baseline_zero,none,{},full_validation,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,0.0,0.0,3254603776,0,1.0,13.45376061558673,5.476080402572054,0,completed,mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_baseline_last7,2026-09-22T20:39:59.285515+00:00,baseline_last7,none,{},full_validation,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,0.0,0.0,3254603776,0,0.38698007486456953,5.20633729022975,2.8615316499936694,0,completed,mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_baseline_four_week_average,2026-09-22T20:39:59.628070+00:00,baseline_four_week_average,none,{},full_validation,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,0.0,0.0,3254603776,0,0.35799177837772045,4.816335688642029,2.5384743027445484,0,completed,mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_baseline_previous_week,2026-09-22T20:39:59.969931+00:00,baseline_previous_week,none,{},full_validation,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,0.0,0.0,3254603776,0,0.42930442212457276,5.775758926476798,3.096071947226555,0,completed,mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_ridge_alpha_0_1_direct,2026-09-22T20:40:13.139845+00:00,ridge,none,"{""alpha"": 0.1, ""solver"": ""lsqr"", ""tol"": 0.001, ""max_iter"": 500}",full_train,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,3.78,0.01,3641937920,4812,0.3609253196149128,4.855802850203167,2.6102272603320134,6468,completed,preprocessing_fit_transform_seconds=8.958; mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_ridge_alpha_1_0_direct,2026-09-22T20:40:17.324378+00:00,ridge,none,"{""alpha"": 1.0, ""solver"": ""lsqr"", ""tol"": 0.001, ""max_iter"": 500}",full_train,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,3.813,0.014,3641937920,4812,0.3609252957802611,4.855802529537469,2.610227042331507,6468,completed,preprocessing_fit_transform_seconds=8.958; mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_ridge_alpha_10_0_direct,2026-09-22T20:40:21.516725+00:00,ridge,none,"{""alpha"": 10.0, ""solver"": ""lsqr"", ""tol"": 0.001, ""max_iter"": 500}",full_train,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,3.812,0.01,3641937920,4812,0.36092528234298976,4.8558023487556365,2.610226770683627,6467,completed,preprocessing_fit_transform_seconds=8.958; mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_ridge_alpha_100_0_direct,2026-09-22T20:40:25.743400+00:00,ridge,none,"{""alpha"": 100.0, ""solver"": ""lsqr"", ""tol"": 0.001, ""max_iter"": 500}",full_train,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,3.852,0.009,3641937920,4812,0.3609247803613216,4.85579559521444,2.6102191028604955,6466,completed,preprocessing_fit_transform_seconds=8.958; mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b1_ridge_alpha_100_0_log1p,2026-09-22T20:40:30.369720+00:00,ridge,log1p,"{""alpha"": 100.0, ""solver"": ""lsqr"", ""tol"": 0.001, ""max_iter"": 500}",full_train,2026,,,4010863,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,4.246,0.01,3641937920,5342,0.9895057502683876,13.312573491857433,22.36774663255179,2136,completed,mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
r4b2a_hgb_a,2026-09-22T20:51:57.406562+00:00,hist_gradient_boosting_A,none,"{""actual_iterations"": 150, ""categorical_features"": [25, 26, 27, 28, 29, 30], ""early_stopping"": true, ""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 100, ""n_iter_no_change"": 20, ""sample_hash"": ""5a8a0cdda334de00114e5f0cbe1f87d3aee78243e5f848304ebc3d3319ceb621"", ""validation_fraction"": 0.05}","TRAIN only; include first chronological row per item, otherwise hash(item_id, source_date, seed=2026) % 10000 < 2240",2026,,,900258,255756,demand-v1,8331eea267c4e71bdcffdf53ff40429a75aacf15c70377c46cc0196ea47b6868,8.168,1.66,1294430208,582540,0.3378098516871548,4.544812878185838,2.4549374338694716,32,completed,sample_hash=5a8a0cdda334de00114e5f0cbe1f87d3aee78243e5f848304ebc3d3319ceb621; actual_iterations=150; preprocessing_seconds=1.221; mean squared first difference of the 7-day target per item on consecutive TRAIN anchors
